,tweet_id,text,source
0,1516326752834002944,A reminder that delivery app restaurants aren't always what they seem. https://t.co/urCBY0Pp9Y,foodandwine
1,1516318179894640641,"Braised chicken legs, soy sauce, vinegar, black pepper, and bay leaf infuse ramen with the flavors of Filipino adobo in this episode of Chefs at Home: https://t.co/MYO8dPdGvZ https://t.co/WwTmySEcnz",foodandwine
2,1516311648889417728,Muffin tins are great for meal prepping individual servings. https://t.co/3FJJmnMBor,foodandwine
3,1516296543791456260,We tested everything from spicy dill pickle flavor to peanut butter chocolate popcorn. https://t.co/SOsTfUyFjX,foodandwine
4,1516290031522127876,"Is eating a regular Big Mac the secret to a long, healthy life? https://t.co/Ok955NhUqk",foodandwine
5,1516281440471863298,"Four ingredients, one bowl, about five minutes to stir it all together. https://t.co/So3USIxSnx",foodandwine
6,1516273930780217344,You still have to tip at casual restaurants. https://t.co/KAgCNdwkJl,foodandwine
7,1516266378340319236,"Basting pork chops in butter infuses them with flavor from herbs, garlic, and chiles. https://t.co/05gBY8KSPf",foodandwine
8,1516258827078877184,"To become an expert, make sure you taste a wide array of wines. https://t.co/XlNltCAC2s",foodandwine
9,1516251275213651973,Different dishes call for different salts. https://t.co/GmvFWqkXQz,foodandwine
10,1516243729065156612,Strawberry shortcake meet tiramisu. https://t.co/gv2eb3w4UQ,foodandwine
11,1516236174595174402,We'll take one lobster roll please. https://t.co/QwvP3kidcG,foodandwine
12,1516228616882995204,Customers wait for hours to try the brisket from this self-taught pit master. https://t.co/TaBxLaNGWe,foodandwine
13,1516221068146577409,"Located in a Swiss village, this was literally named the smallest whiskey bar on Earth by Guinness World Records. https://t.co/d7LwfvHoiZ",foodandwine
14,1516213516432195588,"If you're tired of knives that get dull quickly, this one's for you. https://t.co/umEgc1pPUX",foodandwine
15,1516205965045084163,"NYC's secret ""sixth borough"" is packed with its own great food spots, from pizza joints to Filipino bakeries. Read more: https://t.co/zbbbOvCy3S https://t.co/t666R26w8I",foodandwine
16,1516198412810600448,Step up your burger game with additions like pimento cheese or fried shallots. https://t.co/5xFD9DRRb7,foodandwine
17,1516190858982342660,The controversial chemicals have been found in the packaging of two major chains. https://t.co/u9Y2SRieA3,foodandwine
18,1516182282846957568,"Garlicky pork meatballs sound great, but they sound even better when sitting on top of creamy risotto. Get the recipe: https://t.co/kYzXYNK7NB https://t.co/plzSuSS3ux",foodandwine
19,1516175758720446470,Tofu soaks up the flavors of a sweet and spicy Korean barbecue marinade. https://t.co/UjmbPSdztQ,foodandwine
20,1516167183499464710,Shrimp cakes with a spicy mayo might be even better than a classic crab cake: https://t.co/Kp79rtUE5T https://t.co/BdDz4x8Tgb,foodandwine
21,1516160654201307147,"We were sold at ""warm feta-lemon relish."" https://t.co/o4KEoQrmWF",foodandwine
22,1516153101765464071,Move beyond the espresso martini. https://t.co/ocEma0014r,foodandwine
23,1516145550726414347,Sometimes frozen is better than fresh. https://t.co/9MZRDQt4iN,foodandwine
24,1516137997191757825,Ina resolves Julia Child and Jacques Pepin’s famous disagreement. https://t.co/8XBEDNX8bT,foodandwine
25,1516130445917925380,This bear is willing to break and enter for cannolis. https://t.co/oZ8o8XJoZM,foodandwine
26,1516121886593277962,"Pickle brine makes everything better, and that's especially the case when it comes to crispy fried chicken: https://t.co/BkhJa1PXX6 https://t.co/Vy8BJ9UTwF",foodandwine
27,1516115385115893764,"Try using a more flavorful, cultured butter for spreading on toast. https://t.co/ExKDWjNfjw",foodandwine
28,1516107828724961282,Let us know which city should be added to our list! https://t.co/BmEjwuh844,foodandwine
29,1516100276763119626,The best of the bundt. https://t.co/nMTlu5uI5y,foodandwine
30,1516092729968758791,"The flavors of strawberry-rhubarb pie, except you can put it on everything. https://t.co/HsQ2tjasXr",foodandwine
31,1516085174714445836,"Cakes, biscuits, and a score of 18 original songs. https://t.co/borHU2xyfh",foodandwine
32,1516077622895288320,Houston is home to some of the most underrated and exciting food. https://t.co/AU8yHPBAsB,foodandwine
33,1516070071118016520,"After a petition with over 200,000 signatures, Mexican Pizza is back. https://t.co/PIc60r3p9I",foodandwine
34,1516062519177187329,Has the price of your coffee increased recently? This might be why. https://t.co/cttOvKU99B,foodandwine
35,1516054967546793991,"Name a restaurant that can function without a dishwasher, we'll wait. https://t.co/YinmrF2RVt",foodandwine
36,1516046388093542400,"Our Pasta Bolognese recipe follows the traditional method, using ground pork, veal, beef, and pancetta for a perfectly balanced meaty sauce: https://t.co/BVQor45dKz https://t.co/XdunXqiEtO",foodandwine
37,1516039866815074304,"Some people take personality tests, we prefer a chicken test. https://t.co/MPIsM5IIEP",foodandwine
38,1516031289459060743,"You can assemble this custardy baked french toast ahead of time, so all you have to do in the morning is put it in the oven: https://t.co/qdVVLKbTgB https://t.co/fCcMs3kpf8",foodandwine
39,1516024763566727169,Going plant-based doesn't mean you have to give up flavor. https://t.co/56ixp903hj,foodandwine
40,1516017211936321537,This one-pan chicken pot pie comes together in just over an hour for a super simple dinner. https://t.co/PDwAPHIyIj,foodandwine
41,1516009659748032516,Make a fresh pot of coffee and choose your whiskey wisely. https://t.co/v3viXZ2oTL,foodandwine
42,1516002105886220290,Even a professional chef can't live without a rice cooker. https://t.co/ht1L7nboC3,foodandwine
43,1515994555606347776,"Anthony Bourdain had a respect for all food, from a bucket of KFC to caviar and champagne. https://t.co/xipwCC5IDa",foodandwine
44,1515985991563157505,Caramelized onions give this decadent dip sweet and savory umami flavor:  https://t.co/YIXVfB4JZT https://t.co/e7HO7GvNci,foodandwine
45,1515979515427799044,From a classic lemon glazed to a Black Sesame Chocolate-Banana Loaf Cake. https://t.co/NMywSj4nEt,foodandwine
46,1515971941101969415,You really can't go wrong with a classic roast chicken. https://t.co/rnG75Z13to,foodandwine
47,1515964389635067904,"Find the best flaky, buttery biscuits near you. https://t.co/bJ7OjAL8wC",foodandwine
48,1515955790418481157,This lemony one-bowl cake with cream cheese frosting is definitely a keeper: https://t.co/LjwKKzALm5 https://t.co/RKnNbsyHJS,foodandwine
49,1515949285124235269,These decadent lasagna rolls from an NYC restaurant are famous for a reason. https://t.co/FErdnteC7L,foodandwine
50,1515934182677127170,From classic Cholula to a spicy green sauce. https://t.co/1wYMLa82um,foodandwine
51,1515926631663259648,Stroopwafels would make anyone happy. https://t.co/mFToWKzo3C,foodandwine
52,1515919079772762113,"French gnocchi are fluffier, flakier, and very different from the Italian version. https://t.co/572CXTi98z",foodandwine
53,1515911527668269056,"The best eggs involve butter, of course. https://t.co/VhotWRGfe2",foodandwine
54,1515903976897662982,Service does not mean servitude. https://t.co/B1wonHmQ03,foodandwine
55,1515896424038387715,"While the restaurant industry is recovering, it's important to tip our servers. https://t.co/ERchE4vl4y",foodandwine
56,1515888877432676355,Butchers around the country want you to learn more about meats. https://t.co/3KpSH5vzfm,foodandwine
57,1515881321960247301,"After several years of great sales, it seems people may be tiring of plant-based meat. https://t.co/isgpxMC9fy",foodandwine
58,1515873778328297472,Enough shrimp recipes for an entire month. https://t.co/HGnHjCLUDI,foodandwine
59,1515866219479506944,"""It actually tasted better than the drip coffee I usually make."" https://t.co/ZyCIlTru1B",foodandwine
60,1515851117384679425,Here's a helpful hack to kickstart your sourdough journey. https://t.co/UaLTIzBBYq,foodandwine
61,1515843565909385226,"Few cities can claim to have a real diversity of cuisines, but Indianapolis is one of them. Read more: https://t.co/y9Ri7PXG3D https://t.co/yFBdtdthJ4",foodandwine
62,1515834995000053760,"Drunken noodles become even better when you add in peppery pastrami, just trust us: https://t.co/2IZdyELdur https://t.co/D7TkOseWHr",foodandwine
63,1515828460895285250,"Get a drink at the oldest bar in the US, then do a ghost tour of New Orleans. https://t.co/as3BBhGWeC",foodandwine
64,1515819895438553088,Crispy-skinned chicken thighs with lemon and garlic are an easy way to achieve a flavorful dinner quickly: https://t.co/YrWDePgpJw https://t.co/gPahERTzGW,foodandwine
65,1515813357537923078,The bird is the word. https://t.co/sQ5kFTPj3F,foodandwine
66,1515805805760724995,A glass rinser can cut your cleaning time in half when you have people over. https://t.co/ZlhfSnTheU,foodandwine
67,1515798299281960969,"It's not about the destination, but the journey. https://t.co/VXQcmUj1Qf",foodandwine
68,1515790746032521218,Cake batter was a surprising dark horse. https://t.co/g0EHtAb9dY,foodandwine
69,1515783191570919438,Plan a fajita night for yourself. https://t.co/Ttqdzo26C2,foodandwine
70,1515775640565432325,Who doesn't dream of freshly made lattes every morning? https://t.co/PvFBGM82Vs,foodandwine
71,1515768089442492424,"Great Cabernet can cost a fortune, but it doesn’t have to. https://t.co/GOb4WOP5s9",foodandwine
72,1515759497662418947,"Get out your cast iron skillet and head to the farmer's market, it's time to make a Strawberry-Rhubarb Cornmeal Skillet Cake: https://t.co/xCZGgwAznH https://t.co/tD1HUE01lH",foodandwine
73,1515752981051883530,We've got a great recipe for every kind of 'shroom. https://t.co/xMFyv1lxS3,foodandwine
74,1515744398742417409,"Customize a bowl of congee with your favorite toppings, like Chinese sausage, a jammy egg, or scallions: https://t.co/GXQVGl9kSs https://t.co/Eyf3CuoS2B",foodandwine
75,1515737880555044869,Baking ham and cheese directly into the Dutch baby batter developes crispy edges and melty pools. https://t.co/JLXEXylyE1,foodandwine
76,1515729300162502663,These crispy fried chicken wings have the perfect balance of spicy and sweet: https://t.co/1yAI6xpHnv https://t.co/z0Qt8NNRtp,foodandwine
77,1515722777009045513,Martha's new wine is available for $11.99 across the country. https://t.co/1HqfYATy0w,foodandwine
78,1515715223612702723,Make a $10/lb. short rib that tastes like wagyu beef. https://t.co/qzbH54kM7A,foodandwine
79,1515707671516782597,"Adding ""truffle fry-flavored milk chocolate"" to our grocery list. https://t.co/ySCiiRKM5z",foodandwine
80,1515699100175376389,"Top warm slices of this giant cookie with scoops of ice cream, you won't regret it: https://t.co/bE4XQypIxn https://t.co/fk3si0TlJW",foodandwine
81,1515692566850715651,The 2020 Best New Chef was shocked by how good this dessert turned out. https://t.co/0TIrvrZSc8,foodandwine
82,1515685015920779268,Homemade limoncello only calls for four ingredients. https://t.co/g8q4444ok4,foodandwine
83,1515677464353247235,"If you want to upset everyone in Buffalo, just critcize their chicken wings. https://t.co/HI0RXdh3NY",foodandwine
84,1515669913834303491,This accessory makes it much easier to apply seasoning oil to your cast iron skillet. https://t.co/MqHBKTtAup,foodandwine
85,1515662361230819329,"Wine is an alcoholic beverage, not a wellness product. https://t.co/jCEqrVyDaf",foodandwine
86,1515653800605876228,"Feta, shrimp, and fresh vegetables are covered in a tangy vinaigrette in this rendition of a Greek salad: https://t.co/RqVm2kkKMj https://t.co/9ExuMDCbcR",foodandwine
87,1515647299552223232,American bread-baking is the best its ever been.  https://t.co/p4kLQAujx3,foodandwine
88,1515639747510775808,Your weekend plans have arrived. https://t.co/qHtLWeYeg5,foodandwine
89,1515632196375269378,"These restaurants have been around for a while, but their food is anything but stale. https://t.co/X9foV3G9fL",foodandwine
90,1515617091868626948,"According to the burger expert, the less ingredients the better. https://t.co/xggrWm4HtW",foodandwine
91,1515609538807930883,Great whiskies come from all over the globe. https://t.co/B3IbIAP8Qt,foodandwine
92,1515601987626229762,Get yourself set up for summer. https://t.co/Mjakgvqq4G,foodandwine
93,1515586885061595138,This isn't the focaccia you're thinking of. https://t.co/EF0XkXZUzS,foodandwine
94,1515571783012913153,Scallops are quick cooking while still feeling luxurious. https://t.co/FvMywCDP4I,foodandwine
