,tweet_id,text,source
0,1516250242647306256,"Word on the street is #TheFlightAttendant preflight lounge was the place to be! See the pics of #ColtonUnderwood, #OliviaCulpo &amp; more having a ball at the exclusive #Coachella affair.
https://t.co/KD6fKdq7Ia",OKMagazine
1,1516235143538692102,"Who is #KathieLeeGifford's daughter Cassidy? Take a look inside her life as a model and her friendship with famous pals like the #Kardashians.
https://t.co/MTg1ibmLLk",OKMagazine
2,1516220047399821319,"Internet trolls are having a field day at #JadenSmith's expense. #WillSmith's son was the butt of jokes after saying he likes to talk about these topics.
https://t.co/XdgezX7JnF",OKMagazine
3,1516212488852889605,"These stars know how to stay in the spotlight! See how #JenniferLopez, #NicoleKidman, &amp; #AngelinaJolie are still grabbing headlines and stealing hearts!
https://t.co/EefyEzQdVE",OKMagazine
4,1516204958198153220,"Relationship on the rocks! #CaseyAffleck &amp; GF #CayleeCowan are 'bickering a lot' as #Bennifer heats up. 
https://t.co/vOcSkLLzAp",OKMagazine
5,1516201165066846212,"Boost your hair care routine! #Scream star #JennaOrtega revealed her go-to beauty regimen for her luscious locks. Shop her favorite products now!
https://t.co/uwvRvZFI94",OKMagazine
6,1516197393225637894,"Did #LadyGaga go overboard? The icon sparked concern over her alleged excessive plastic surgery.
https://t.co/cf0XDxBV4u",OKMagazine
7,1516189853565833226,"The Princess of Pop is planning her big day! Take a look inside #BritneySpears and #SamAsghari's wedding plans.
https://t.co/vP6BvgXriQ",OKMagazine
8,1516182292783325187,"Unlucky in love! Inside #SandraBullock's past failed relationships as the actress gets 'cold feet' about marrying #BryanRandall.
https://t.co/5wGKJYrdGZ",OKMagazine
9,1516180764110565379,"Fierce, Festive, &amp; Fabulous! Recreate these celeb #Coachella styles with these fashion-forward looks. Shop now!
https://t.co/dl2iqKcnHm",OKMagazine
10,1516178041784848386,RT @graziatweets: We got our Driver's License... we are trying to drive extra votes! It's the last week to vote for #GRAZIA USA to win Best…,OKMagazine
11,1516174783293140992,"What scandal?! #OliviaJadeGiannulli was spotted looking unbothered as ever as she flaunted her sizzling bikini bod. See the photos here:
https://t.co/nqDECUepll",OKMagazine
12,1516167193884561417,"#BruceWillis' family continues to rally behind him! #TallulahWillis plans to move up her wedding date following her father's aphasia diagnosis, ensuring he can attend while still in good health.
https://t.co/NLuDa7Twcw",OKMagazine
13,1516160399439273991,"#BREAKING: #MacMiller's drug dealer has been sentenced to 11 years in prison after supplying the rapper with fentanyl-laced pills.
https://t.co/j8cMr2dbJA",OKMagazine
14,1516159676819386370,Everyone's favorite Aries turned 43! See #KourtneyKardashian's sweet birthday tributes from her sisters &amp; mom.  https://t.co/QXBi0b9poM,OKMagazine
15,1516156200383094787,"Will #LamarOdom say say anything on #Instagram about the new #Kardashian show by April 25th?
Play OK’s @versusgame now, answer correctly, and win💰💸🤑 - play now!
https://t.co/qwjvHJqWhQ",OKMagazine
16,1516152094650257408,"#Bennifer's house hunt continues! The rekindled flames are still searching for a forever home after their $50 million mansion deal fell through. 
https://t.co/6sznpNZun3",OKMagazine
17,1516144607339425808,"50 and thriving! #JenniferGarner goes make-up free to greet her friends at her birthday bash. 
https://t.co/EdsIb9LoVn",OKMagazine
18,1516140767437377540,"What will #MeghanMarkle reveal on her #Spotify podcast, #Archetypes? 👀
https://t.co/BAVgUMmSbc",OKMagazine
19,1516136765056290820,"#BREAKING: #CristianoRonaldo revealed that he and his partner, #GeorginaRodriguez lost their newborn baby boy. 💔
https://t.co/5mGTMVGBFl",OKMagazine
20,1516129239107575815,"#JohnnyDepp's Texts Revealed!! Old messages to the actor's doctor resurface in court — see what they reveal about #AmberHeard's alleged 'abusive' behavior.
https://t.co/wUiufJx1H5",OKMagazine
21,1516121896340893703,"We are green with envy over #JenniferLopez's unique engagement ring! Take a look at the icon's new bling in this sexy selfie.
https://t.co/4g6sw2CNKM",OKMagazine
