,tweet_id,text,source
0,1515056253793447944,"Scott Pruitt, Trump's former EPA chief,  is running for U.S. Senate in Oklahoma this year https://t.co/WSZfNgJXc3",politico
1,1515040871418261506,"RT @politicongress: A joint fundraising committee run by Marjorie Taylor Greene and Matt Gaetz paid John Eastman's law firm at least $25,00…",politico
2,1515017655182409731,"From their earliest days, Black churches have been political by necessity — and D.C. is no exception. 

But over the last two decades, D.C.’s Black churches have been losing their congregations to gentrification. Pastors are pushing for change.
https://t.co/xWaRDTCXIv https://t.co/0Neu11LYB2",politico
3,1515011952237588485,"RT @playbookdc: In early November, Rep. Chip Roy was texting Mark Meadows saying, “We need ammo” for former President Donald Trump's effort…",politico
4,1515002027079872528,"Add West Wing Playbook to your daily reads for newsy nuggets and details you won't find anywhere else about the Biden administration.  Subscribe today.
https://t.co/AsF2TXHAuK https://t.co/wLlamyxIbK",politico
5,1514999787581497347,"We're live with reporters @jholz__ , @JenniferYachnin, 
@mollytaft and @yessfun discussing inclusivity in the climate action movement. 

Join us here 👇https://t.co/sloxk8Ge6j https://t.co/VaDZf2Qnfi",politico
6,1514996621456678913,"RT @EENewsUpdates: Join the discussion on Twitter Space at noon ET!
""Inclusivity in the climate action movement"" with E&amp;E News reporter 
@j…",politico
7,1514994988073037827,"RT @jholz__: At noon, I’ll be going live with three of my favorite reporters to talk about why inclusivity matters when it comes to movemen…",politico
8,1514990334249472010,"Nine of the 10 American cities with the largest Black populations saw a decline in Black residents over the past 20 years. 

Washington, D.C. is no exception. The city that once proudly dubbed itself “Chocolate City” is no longer majority Black. https://t.co/cPqzvjgb4u",politico
9,1514980534719590412,RT @StevenOverly: Gentrification and displacement have rapidly reshaped DC over the last 20 years. But the nation’s capital has also transf…,politico
10,1514979220270862344,"RT @StevenOverly: For decades, DC has been “Chocolate City.” 

The first big, majority-Black city in the US, it emerged from the civil righ…",politico
11,1514978979089899522,"RT @DeleceWrites: 🧵My colleagues and I poured through census data &amp; spoke with elected officials, activists and academics to understand how…",politico
12,1514952232210472965,Second Gentleman Doug Emhoff was never that religious. Now he finds himself thrust into a historic role in the Jewish community. https://t.co/aOGYYYwXdK,politico
13,1514937132527206403,"A close Kremlin ally, the Patriarch of Moscow has blessed the Ukraine invasion. Fellow religious leaders are going after him. https://t.co/ySHytBGrur",politico
