,tweet_id,text,source
0,1515019416299315201,"Mike Bossy, one of hockey's most prolific goal scorers and a star for the Islanders during their 1980s dynasty, has died at the age of 65. https://t.co/qH9xKVHgjb",espn
1,1515008964932603907,"Jackie Robinson Way 🙌 #jackie42

(via @MLB) 
https://t.co/BRwXxMSrI0",espn
2,1515005714560860163,"Will James Harden show up this postseason?

@ElleDuncanESPN, @PabloTorre and @Foxworth24 discuss the NBA playoffs, if the Warriors are still title contenders and if Kyler Murray will get what he wants from the Cardinals on the latest @debatable ⤵️ https://t.co/X8KYegArlD",espn
3,1515003597133598722,"Clippers star Paul George has entered the league's health and safety protocols and will miss tonight's play-in game vs. New Orleans, sources tell @TimBontemps and @wojespn. https://t.co/cu5hjLm6qR",espn
4,1514988865202925572,RT @DickieV: It was RING THE BELL TIME ! Yes it was a tough 7 months but it was super hearing Dr Brown @SMHCS  say  that I have zero cancer…,espn
5,1514968327365570566,"The Colts are giving CB Stephon Gilmore a two-year, $23 million deal including $14 million guaranteed, sources tell @AdamSchefter. https://t.co/PKoUcKYj8Y",espn
6,1514966777645744128,"Two teams. One Eastern Conference playoff spot left.

Who ya got: Hawks or Cavs?

📺 7:30 PM ET | ESPN https://t.co/t5VZJzXy0z",espn
7,1514961695453716483,"RT @accnetwork: .@JonScheyer's gift to Coach K is too cute 🥺 

(via @DukeMBB) 
https://t.co/WKGLt0wZXM",espn
8,1514955445340934151,"An icon and a trailblazer.

It's been 75 years since Jackie Robinson broke the color barrier in Major League Baseball.

His No. 42 is the only number in MLB history to be universally retired. https://t.co/RSIh5kaXH4",espn
9,1514799066999189512,Frederick Gaudreau called GAME 😎 https://t.co/muIaFZVCUI,espn
10,1514794620063924232,"RT @ESPNPlus: Zdeno Chara scored his first goal of the season tonight at 45-years-old. 

Chara is the 4th player to score at age-45 or olde…",espn
11,1514790896318918664,"And then there were four ...

The national championship is set 🤩 https://t.co/ztJXntKFWR",espn
12,1514782228969971716,Pittsburgh locks in its chance to play for the Stanley Cup 🏆 @penguins https://t.co/gjHk8YWGah,espn
13,1514779607135756291,Kevin Fiala put some extra mustard on this goal 😬 @mnwild https://t.co/WKJZ682lTw,espn
14,1514776148302999556,"WE'RE TIED 🚨

Jason Robertson takes advantage of the power play! @DallasStars https://t.co/rrHL2SpkW7",espn
15,1514773243378368523,"RT @ESPNPlus: C.J. Abrams hit his first career HR, and the @Padres gave him the silent treatment 😂 https://t.co/Il2zhSBsqB",espn
16,1514768420369182720,"Wild center Ryan Hartman, fined by the NHL after an altercation against the Oilers, is routing contributions from fans to a pediatric healthcare system in Minnesota. https://t.co/B8kKFmj1QW",espn
17,1514766548837167105,RT @ESPNPlus: Vladimir Tarasenko only needed one arm to bury the puck 😤 https://t.co/jq4nvvU5SH,espn
18,1514759752693202954,.@Gym_Trin THE 10 QUEEN 👑 https://t.co/KGxkGPxBuK,espn
19,1514758229531762693,"Dallas continues its fight for the playoffs against the Wild 💪

📺: ESPN | @ESPNPlus https://t.co/7XvE0NCvJQ",espn
20,1514747327814152204,"Hockey night with The Drop 🏒🤩

@wyshynski and @Arda are in studio to get us ready for tonight’s matchup between the Wild and Stars. Plus, the crew is joined by Minnesota Wild fan, Allie Cook, who kickstarted a viral trend after a Tuesday night scuffle! https://t.co/Ac7ggCfzdl",espn
21,1514743431100305417,.@sunisalee_ delivers BIG on floor for @AuburnGym 🤩 https://t.co/l0zNIlBqnN,espn
22,1514730859789799432,"Auston Matthews has been on an electrifying campaign with 58 goals this season ⚡️

@HilaryKnight and @Arda break down the difference in his game from 2021. https://t.co/Q1r5gl2mHe",espn
23,1514674740027342854,"RT @espnW: Stunning bar routine from @jadeacarey 🤩

@BeaverGym https://t.co/tbABjOsbBM",espn
24,1514654827405529088,"At 341 pounds, his 40-yard dash was faster than Patrick Mahomes, Nick Bosa and JJ Watt's 😳

Georgia's Jordan Davis is on a mission to prove he is unlike any other player in this year's draft. https://t.co/WIZNKBstrz",espn
25,1514645311314186240,"Draymond and Steph believe the 73-win Warriors were the best team ever, despite losing in the Finals to LeBron's Cavs. 

(via @TheVolumeSports) https://t.co/UCB5bP4raQ",espn
